TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
h001203,50,여,30,6,1,2,4,2,,6,11,1,1,26,26350,42,42210,50,50130,5,1,2,2,4,6,2,7,제주특별자치도,제주,자녀 동반 여행,2023-06-15~2023-06-16,3,1,7,3
h002454,50,여,50,5,1,2,2,3,,1,7,3,4,50,50130,26,26350,11,11230,4,4,3,3,5,4,5,4,제주특별자치도,제주,2인 가족 여행,2023-07-25~2023-07-25,2,3,1,1
h000043,11,여,30,6,1,2,4,3,,1,10,2,1,46,46110,42,42830,50,50130,4,3,2,2,4,3,5,4,서울특별시,제주,자녀 동반 여행,2023-05-18~2023-05-22,3,2,9,3
h006083,42,남,50,6,1,4,1,10,,5,,2,3,50,50110,42,42210,48,48860,1,2,2,4,6,2,5,6,강원도,제주,3인 이상 여행(가족 외),2023-09-09~2023-09-10,3,6,1,6
h003578,11,여,30,7,1,2,3,11,,5,5,2,1,42,42170,28,28710,41,41830,3,2,2,5,6,3,7,3,서울특별시,제주,자녀 동반 여행,2023-09-02~2023-09-09,2,8,7,2
h003483,29,여,20,6,1,1,2,2,,4,4,3,3,26,26350,11,11680,50,50110,4,2,1,2,4,6,7,5,광주광역시,제주,3인 이상 여행(가족 외),2023-08-12~2023-08-14,2,1,5,3
h006749,50,여,30,4,1,1,4,9,,3,4,3,4,11,11440,50,50110,42,42170,2,1,1,3,6,2,7,6,제주특별자치도,제주,2인 가족 여행,2023-09-19~2023-09-19,1,2,3,1
h001596,36,남,20,4,1,1,5,12,,1,9,2,1,44,44825,30,30110,50,50110,4,3,3,4,4,4,4,4,세종특별자치시,제주,나홀로 여행,2023-07-04~2023-07-06,4,1,5,0
h001275,41,남,30,6,1,1,2,4,,4,10,3,2,50,50110,26,26350,42,42150,4,6,2,2,2,5,6,2,경기도,제주,2인 여행(가족 외),2023-06-19~2023-06-22,2,3,1,1
h001482,41,남,50,6,1,2,4,1,,11,12,2,2,50,50130,26,26710,42,42830,2,2,2,2,2,2,3,5,경기도,제주,2인 가족 여행,2023-07-07~2023-07-09,1,2,4,1
h001494,11,여,20,6,1,2,2,3,,4,8,3,5,42,42210,41,41820,30,30110,4,1,2,2,2,3,6,6,서울특별시,제주,2인 가족 여행,2023-07-07~2023-07-09,2,1,3,1
h003953,29,남,20,6,1,1,1,3,,3,,3,3,50,50130,26,26350,45,45110,3,1,3,4,2,6,2,7,광주광역시,제주,2인 여행(가족 외),2023-08-18~2023-08-20,1,2,7,1
h002552,26,여,20,6,1,1,5,2,,3,8,3,4,42,42150,47,47130,50,50110,4,1,5,3,3,6,7,7,부산광역시,제주,2인 여행(가족 외),2023-08-16~2023-08-20,1,5,3,1
h006681,50,여,50,6,1,2,4,3,,3,10,2,1,50,50110,50,50130,11,11110,1,1,1,1,7,6,1,1,제주특별자치도,제주,자녀 동반 여행,2023-09-17~2023-09-17,3,2,5,3
h001254,27,남,30,6,1,1,4,3,,6,11,2,1,27,27260,47,47110,47,47130,4,4,3,2,3,2,3,4,경기도,제주,3인 이상 여행(가족 외),2023-06-24~2023-06-26,7,1,2,3
h000476,11,남,30,6,1,1,2,2,,4,5,3,3,50,50130,50,50110,48,48270,4,2,2,4,4,2,2,4,서울특별시,제주,나홀로 여행,2023-06-04~2023-06-06,2,1,7,0
h006747,50,남,50,6,1,2,3,2,,7,11,2,2,11,11440,48,48120,29,29155,3,3,3,3,5,5,5,3,제주특별자치도,제주,자녀 동반 여행,2023-09-23~2023-09-23,6,3,2,2
h006569,50,남,30,6,1,1,1,3,,4,,2,1,50,50130,11,11680,26,26350,4,4,1,1,1,1,7,5,제주특별자치도,제주,나홀로 여행,2023-09-22~2023-09-22,5,7,2,0
h003561,11,남,20,6,2,1,2,12,,2,2,3,5,50,50130,26,26530,47,47210,2,2,1,2,6,2,3,5,서울특별시,제주,3인 이상 여행(가족 외),2023-08-26~2023-08-29,1,3,2,3
h002265,44,남,50,8,1,2,2,2,,6,8,3,4,42,42110,42,42170,44,44200,3,5,5,4,5,5,3,6,충청남도,제주,2인 여행(가족 외),2023-07-17~2023-07-20,3,6,1,1
h006565,50,여,30,5,1,2,4,3,,5,8,2,2,50,50110,50,50130,42,42130,2,7,1,4,4,4,6,4,제주특별자치도,제주,3인 이상 여행(가족 외),2023-09-16~2023-09-16,1,,,3
